ensembl_gene_id	chromosome_name	mgi_symbol	description	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000034810	2	Scn7a	sodium channel, voltage-gated, type VII, alpha [Source:MGI Symbol;Acc:MGI:102965]	-2.86129366025998	6.08522177973292	199.010904148148	3.43302813730949e-45	4.82237462447864e-41
ENSMUSG00000024799	19	Tm7sf2	transmembrane 7 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1920416]	-2.16748114442321	5.81481892868855	193.004636940724	7.02279577215947e-44	4.9324606105762e-40
ENSMUSG00000027200	2	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:MGI Symbol;Acc:MGI:2387661]	-1.83713893468901	8.27168974673307	183.626934730119	7.82628940479126e-42	3.66452957563676e-38
ENSMUSG00000022231	15	Sema5a	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:MGI Symbol;Acc:MGI:107556]	-3.03987924482562	7.60736506605334	181.730836138339	2.03010422124788e-41	7.12921849896724e-38
ENSMUSG00000022483	15	Col2a1	collagen, type II, alpha 1 [Source:MGI Symbol;Acc:MGI:88452]	1.88019717596071	6.66164167304877	180.655698833273	3.48542761697202e-41	9.79196034712119e-38
ENSMUSG00000023832	17	Acat2	acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]	-1.93511185850159	6.7971589638798	178.428787552655	1.06779498971423e-40	2.49988603675262e-37
ENSMUSG00000026778	2	Prkcq	protein kinase C, theta [Source:MGI Symbol;Acc:MGI:97601]	-2.15186161821551	6.79117121170432	176.258265671946	3.18008897269233e-40	6.38152997134417e-37
ENSMUSG00000046844	8	Vat1l	vesicle amine transport protein 1 like [Source:MGI Symbol;Acc:MGI:2142534]	-3.26969521933526	7.70661838120235	174.981063616268	6.04424278117077e-40	1.06129347933882e-36
ENSMUSG00000031558	5	Slit2	slit homolog 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:1315205]	-2.51903745557421	4.94409404551832	167.144025724042	3.11150170335848e-38	4.85636271411962e-35
ENSMUSG00000069171	13	Nr2f1	nuclear receptor subfamily 2, group F, member 1 [Source:MGI Symbol;Acc:MGI:1352451]	-1.70943944675829	6.2867704983138	148.908574248466	3.00279065203304e-34	4.21802002891081e-31
ENSMUSG00000031604	8	Msmo1	methylsterol monoxygenase 1 [Source:MGI Symbol;Acc:MGI:1913484]	-1.9232680567294	8.3989579593092	147.7627811882	5.34547487170635e-34	6.82617141116901e-31
ENSMUSG00000029482	5	Aacs	acetoacetyl-CoA synthetase [Source:MGI Symbol;Acc:MGI:1926144]	-1.94885456758848	7.09819518183972	147.212371007533	7.05189902346211e-34	8.25483546521436e-31
ENSMUSG00000047797	X	Gjb1	gap junction protein, beta 1 [Source:MGI Symbol;Acc:MGI:95719]	-2.37510404009054	5.72243668947522	142.846612758462	6.34992244006657e-33	6.86133542427808e-30
ENSMUSG00000049122	4	Frmd3	FERM domain containing 3 [Source:MGI Symbol;Acc:MGI:2442466]	-2.42888505067998	7.04578675014949	134.981111099659	3.33324917882354e-31	3.3444393724953e-28
ENSMUSG00000020598	12	Nrcam	neuronal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:104750]	-1.4619974947166	6.09551428200214	134.716118168562	3.80917458189525e-31	3.56716502345884e-28
ENSMUSG00000000223	X	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]	-2.77715190480328	7.53713251421743	130.948505933308	2.54113385727115e-30	2.23095670581799e-27
ENSMUSG00000059213	15	Ddn	dendrin [Source:MGI Symbol;Acc:MGI:108101]	-2.38898736577832	7.1502078628142	130.359447476904	3.41904279107992e-30	2.82513494625292e-27
ENSMUSG00000023912	17	Slc25a27	solute carrier family 25, member 27 [Source:MGI Symbol;Acc:MGI:1921261]	-1.67058441630712	5.83058982483416	128.80952426317	7.4649126566115e-30	5.82553489374565e-27
ENSMUSG00000036634	7	Mag	myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]	-1.62354536711052	8.83279521365303	127.100716689888	1.76580976949859e-29	1.30549104379719e-26
ENSMUSG00000028007	3	Snx7	sorting nexin 7 [Source:MGI Symbol;Acc:MGI:1923811]	-1.36711623385615	7.03929089433734	123.352853065667	1.16729778541262e-28	8.19851599584551e-26
ENSMUSG00000027375	2	Mal	myelin and lymphocyte protein, T cell differentiation protein [Source:MGI Symbol;Acc:MGI:892970]	-1.64677484029997	11.008773849806	119.41215768457	8.50807767882711e-28	5.69109367402307e-25
ENSMUSG00000074971	2	Fibin	fin bud initiation factor homolog (zebrafish) [Source:MGI Symbol;Acc:MGI:1914856]	2.47242707499328	5.43191516525141	118.905742640688	1.09826225213552e-27	7.01240447988527e-25
ENSMUSG00000020374	11	Rasgef1c	RasGEF domain family, member 1C [Source:MGI Symbol;Acc:MGI:1921813]	-1.85856240113026	5.15737596520794	118.5232515123	1.33183758672264e-27	8.13405329595344e-25
ENSMUSG00000032854	3	Ugt8a	UDP galactosyltransferase 8A [Source:MGI Symbol;Acc:MGI:109522]	-2.24207042696352	9.69671103965312	114.362653851769	1.08528879312707e-26	6.35210486544e-24
ENSMUSG00000027820	3	Mme	membrane metallo endopeptidase [Source:MGI Symbol;Acc:MGI:97004]	-3.38868348635284	8.17583543587915	114.053407650003	1.26845593474045e-26	7.12720020611962e-24
ENSMUSG00000021670	13	Hmgcr	3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]	-1.90478567483105	8.92531723820516	112.978655540686	2.18110236059048e-26	1.17838249458517e-23
ENSMUSG00000021273	14	Fdft1	farnesyl diphosphate farnesyl transferase 1 [Source:MGI Symbol;Acc:MGI:102706]	-1.47259720903609	7.47200164683976	112.155023759376	3.30435881334546e-26	1.71912326855791e-23
ENSMUSG00000018217	11	Pmp22	peripheral myelin protein 22 [Source:MGI Symbol;Acc:MGI:97631]	-1.96525876157734	13.3812422405585	111.385057908895	4.87251758791487e-26	2.44443766276572e-23
ENSMUSG00000046167	9	Gldn	gliomedin [Source:MGI Symbol;Acc:MGI:2388361]	-1.83050276213074	7.48497149044643	110.561402072763	7.38230336389273e-26	3.57583501215866e-23
ENSMUSG00000039782	5	Cpeb2	cytoplasmic polyadenylation element binding protein 2 [Source:MGI Symbol;Acc:MGI:2442640]	-1.67760082273601	6.14867296779896	109.943595846501	1.0081902000011e-25	4.72068257980516e-23
ENSMUSG00000041607	18	Mbp	myelin basic protein [Source:MGI Symbol;Acc:MGI:96925]	-2.04500670710355	13.6032530411213	108.277733183953	2.33634611479022e-25	1.05866625401478e-22
ENSMUSG00000093930	13	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]	-2.13538487876385	10.3609092639004	105.365751651768	1.01549967473229e-24	4.45772622842639e-22
ENSMUSG00000001467	5	Cyp51	cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]	-1.65365214384205	8.5084893632217	103.565750274755	2.51894303816063e-24	1.07223008657704e-21
ENSMUSG00000068794	6	Col28a1	collagen, type XXVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:2685312]	-1.41100556510082	6.9397209293949	101.928380799152	5.75658372110552e-24	2.37831563324616e-21
ENSMUSG00000021065	12	Fut8	fucosyltransferase 8 [Source:MGI Symbol;Acc:MGI:1858901]	-1.45077565499686	7.82013997112289	101.109796225035	8.70234391151795e-24	3.49262356928836e-21
ENSMUSG00000045294	5	Insig1	insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]	-1.47299050157242	7.36931239923681	99.7625080894186	1.71812108503313e-23	6.70401302262788e-21
ENSMUSG00000020431	11	Adcy1	adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]	-2.32464877219567	5.16638720681102	96.8572925757076	7.45086042029058e-23	2.82870908983302e-20
ENSMUSG00000022206	15	Npr3	natriuretic peptide receptor 3 [Source:MGI Symbol;Acc:MGI:97373]	-1.34197240678252	7.19445543854129	94.6593854190902	2.26131554271364e-22	8.35913142855222e-20
ENSMUSG00000033350	9	Chst2	carbohydrate sulfotransferase 2 [Source:MGI Symbol;Acc:MGI:1891160]	-2.23161660221909	6.08767188597204	93.6765307430817	3.71540384475876e-22	1.3382122514699e-19
ENSMUSG00000035093	2	Secisbp2l	SECIS binding protein 2-like [Source:MGI Symbol;Acc:MGI:1917604]	-1.81266656038762	10.1435505849539	91.9072517613199	9.08355390054176e-22	3.18991704102275e-19
ENSMUSG00000021904	14	Sema3g	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:MGI Symbol;Acc:MGI:3041242]	1.3007201314606	6.02736813648052	91.0538210583746	1.3981690214168e-21	4.79026347410775e-19
ENSMUSG00000026459	1	Myog	myogenin [Source:MGI Symbol;Acc:MGI:97276]	2.90060183087799	3.82733746453206	89.9723762802359	2.4150855534658e-21	8.07731113560336e-19
ENSMUSG00000034640	3	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210]	-1.36726305528179	5.82345931383651	88.746182490003	4.48862818528009e-21	1.46632000275883e-18
ENSMUSG00000055421	14	Pcdh9	protocadherin 9 [Source:MGI Symbol;Acc:MGI:1306801]	-1.60852156319216	6.14419599314316	87.3937909773702	8.8929226263848e-21	2.83906554847335e-18
ENSMUSG00000053253	14	Ndfip2	Nedd4 family interacting protein 2 [Source:MGI Symbol;Acc:MGI:1923523]	-1.24806567572949	7.26881409426823	87.3170406086791	9.24479515814951e-21	2.88581416858947e-18
ENSMUSG00000030265	6	Kras	Kirsten rat sarcoma viral oncogene homolog [Source:MGI Symbol;Acc:MGI:96680]	-1.26979919855534	8.23829272444034	85.6924495564151	2.1021403956958e-20	6.4192969865954e-18
